Name,Groups,Muribaculum,Bacteroides,Parabacteroides,Lachnoclostridium,Lactobacillus,Butyrivibrio,Oscillibacter,Absiella,Anaerostipes,Acetivibrio,Anaerotignum,Streptococcus,Kineothrix,Eisenbergiella,Flavonifractor,Anaerotruncus,Marvinbryantia,Akkermansia,Bacteroidetes
Con_1,Con,6525,2714,111,4000,400,14,100,50,10,20,0,16,142,32,423,9,20,91,12587
Con_2,Con,7252,339,74,7392,220,817,452,13,28,60,733,6,800,305,980,122,50,153,9317
Con_3,Con,5457,913,30,8348,301,806,321,21,65,88,295,6,801,111,1194,221,307,2,12597
Con_4,Con,14225,2260,110,3220,1879,371,284,51,4,99,134,5,557,280,586,137,429,142,22349
Con_5,Con,8566,952,69,6165,624,510,506,38,65,0,628,16,175,100,1471,216,48,10,15584
HIBA_1,HIBA,27800,1468,114,2694,6783,114,245,92,0,15,66,10,101,118,840,61,9,89,32505
HIBA_2,HIBA,29033,5942,121,1714,2256,57,113,27,0,0,12,22,74,5,194,51,33,121,38235
HIBA_3,HIBA,26619,4263,106,3214,4662,0,69,98,7,12,0,48,229,31,682,117,0,427,38337
HIBA_4,HIBA,16521,4250,257,1992,6024,63,97,150,0,0,0,30,284,3,436,58,5,433,27213
HIBA_5,HIBA,10691,2232,174,866,12691,4,12,84,0,0,0,21,14,0,301,9,5,127,22902
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.001703948
,,,,,,,,,,,,,,,,,,,,2.197752437
