Name,total,expected,hits,Raw p,Holm p,FDR,logP,Ratio
Nicotinate and Nicotinamide Metabolism,37,0.723,2,0.161,1,1,0.793174124,2.702702703
Thiamine Metabolism,9,0.176,1,0.163,1,1,0.787812396,5.555555556
Phenylacetate Metabolism,9,0.176,1,0.163,1,1,0.787812396,5.555555556
Glutamate Metabolism,49,0.957,2,0.248,1,1,0.605548319,2.040816327
Alanine Metabolism,17,0.332,1,0.287,1,1,0.542118103,2.941176471
Butyrate Metabolism,19,0.371,1,0.315,1,1,0.501689446,2.631578947
Ethanol Degradation,19,0.371,1,0.315,1,1,0.501689446,2.631578947
Catecholamine Biosynthesis,20,0.391,1,0.328,1,1,0.484126156,2.5
Riboflavin Metabolism,20,0.391,1,0.328,1,1,0.484126156,2.5
Glutathione Metabolism,21,0.41,1,0.342,1,1,0.465973894,2.380952381
Pantothenate and CoA Biosynthesis,21,0.41,1,0.342,1,1,0.465973894,2.380952381
Cysteine Metabolism,26,0.508,1,0.405,1,1,0.392544977,1.923076923
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,27,0.527,1,0.417,1,1,0.379863945,1.851851852
Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,27,0.527,1,0.417,1,1,0.379863945,1.851851852
Phenylalanine and Tyrosine Metabolism,28,0.547,1,0.429,1,1,0.367542708,1.785714286
Selenoamino Acid Metabolism,28,0.547,1,0.429,1,1,0.367542708,1.785714286
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,28,0.547,1,0.429,1,1,0.367542708,1.785714286
Purine Metabolism,74,1.45,2,0.431,1,1,0.36552273,1.351351351
Phospholipid Biosynthesis,29,0.566,1,0.44,1,1,0.356547324,1.724137931
Pentose Phosphate Pathway,29,0.566,1,0.44,1,1,0.356547324,1.724137931
Urea Cycle,29,0.566,1,0.44,1,1,0.356547324,1.724137931
Ammonia Recycling,32,0.625,1,0.473,1,1,0.325138859,1.5625
Beta-Alanine Metabolism,34,0.664,1,0.494,1,1,0.306273051,1.470588235
Aspartate Metabolism,35,0.684,1,0.505,1,1,0.296708622,1.428571429
Propanoate Metabolism,42,0.82,1,0.571,1,1,0.243363892,1.19047619
Methionine Metabolism,43,0.84,1,0.579,1,1,0.237321436,1.162790698
Histidine Metabolism,43,0.84,1,0.579,1,1,0.237321436,1.162790698
Fatty acid Metabolism,43,0.84,1,0.579,1,1,0.237321436,1.162790698
Pyruvate Metabolism,48,0.938,1,0.621,1,1,0.2069084,1.041666667
Arginine and Proline Metabolism,53,1.04,1,0.658,1,1,0.181774106,0.943396226
Glycine and Serine Metabolism,59,1.15,1,0.698,1,1,0.156144577,0.847457627
Pyrimidine Metabolism,59,1.15,1,0.698,1,1,0.156144577,0.847457627
Arachidonic Acid Metabolism,69,1.35,1,0.756,1,1,0.121478204,0.724637681
Tyrosine Metabolism,72,1.41,1,0.771,1,1,0.112945622,0.694444444
